-1.#IND,1.#QNAN,-2147483648,0,0,0.018,10.1637,0.0101637,
0.43617,-0.941489,1,2426,-1239,4.358,3488.03,3.48803,
0.426316,-0.742105,0,2426,-1239,4.389,3512.52,3.51252,
0.593407,-0.846154,1,2426,-1239,4.421,3536.97,3.53697,
0.545946,-0.518919,0,2425,-1239,4.45,3560.83,3.56083,
0.518519,-0.57672,0,2425,-1239,4.482,3585.32,3.58532,
0.796703,-0.489011,0,2425,-1239,4.514,3609.41,3.60941,
0.906593,-0.554945,1,2425,-1239,4.546,3634.74,3.63474,
0.95082,-0.459016,1,2425,-1239,4.576,3658.99,3.65899,
1,-0.372973,1,2425,-1239,4.606,3682.99,3.68299,
1.37838,-0.275676,1,2425,-1239,4.639,3708.49,3.70849,
1.7754,-0.513369,1,2421,-1238,4.688,3749.78,3.74978,
2.28342,-0.588235,2,2421,-1238,4.719,3776.95,3.77695,
2.50526,-1.12105,2,2421,-1238,4.752,3805.39,3.80539,
2.42408,-1.50785,2,2418,-1237,4.782,3831.99,3.83199,
2.60106,-1.43617,2,2417,-1237,4.815,3861.41,3.86141,
2.68063,-0.848168,2,2415,-1237,4.848,3892.05,3.89205,
2.26064,-1.06383,2,2414,-1237,4.89,3918.16,3.91816,
2.52604,-1.21354,2,2413,-1236,4.921,3943.1,3.9431,
2.95288,-1.73298,3,2412,-1235,4.952,3969.47,3.96947,
3.47568,-2.07027,4,2412,-1235,4.982,3993.78,3.99378,
3.87766,-2.2766,4,2410,-1235,5.024,4028.91,4.02891,
3.92473,-2.17742,4,2409,-1235,5.062,4054.67,4.05467,
3.86631,-1.60428,4,2407,-1234,5.093,4079.62,4.07962,
3.6087,-1.67935,3,2406,-1234,5.124,4105.56,4.10556,
3.22826,-1.88587,3,2402,-1228,5.157,4132.62,4.13262,
2.94241,-2.17801,3,2400,-1226,5.189,4159.23,4.15923,
2.8617,-1.06915,3,2399,-1226,5.218,4184.46,4.18446,
2.42473,-1.47312,2,2397,-1225,5.249,4210.03,4.21003,
2.42623,-1.07104,2,2396,-1224,5.281,4235.83,4.23583,
2.26087,-1.25543,2,2394,-1221,5.313,4263.19,4.26319,
2.50802,-2.0107,3,2392,-1220,5.362,4307.5,4.3075,
