"colony","sex","day","id","traveled_dis","mean_moving_speed","pause_duration","D","a","mu","rho"
"102","M",0,"Rs_102_M_02",8855.70370007669,1.82889494933106,2965,40.7547648910326,1.0373193343982,0.0963461798093888,0.876483345769818
"102","M",1,"Rs_102_M_02",5234.51821823028,1.32982523045335,4248,99.3436812752162,0.863409100104849,0.0342126126624612,0.883578233430574
"102","M",2,"Rs_102_M_02",3268.23084434168,1.22037437950546,5470,22.2999177760578,1.12435972045346,0.0133579347605915,0.88863687468633
"102","M",3,"Rs_102_M_02",3798.89748153369,1.2766131433852,5391,5.77891973146362,1.47144975163528,0.0246004955099054,0.880054338262867
"102","M",0,"Rs_102_M_03",5800.11319837078,1.48870093970929,4140,293.145075647568,0.788933820967692,0.00194586328018711,0.872149374888774
"102","M",1,"Rs_102_M_03",2869.62276638656,1.21068249379863,5797,575.951632997429,0.353957554099268,0.00725163630746703,0.881210953693831
"102","M",2,"Rs_102_M_03",3909.23243021821,1.329325632167,5141,206.196505135857,0.815774560881391,0.0160367061991577,0.888302612559319
"102","M",3,"Rs_102_M_03",1637.95195063617,1.15721128053633,6541,24.1833534698561,0.842246498744633,0.0214297090074754,0.895192016753897
"103","F",0,"Rs_103_F_01",18152.3045736161,3.22913716241063,2022,876.784503763319,0.766941297248672,0.00641779441860952,0.797463424238735
"103","F",1,"Rs_103_F_01",12490.2539802128,2.4569755395625,2680,85.8193130595991,1.38266972191508,0.0116329544422618,0.840223550076494
"103","F",2,"Rs_103_F_01",10525.2005174634,2.35444196000259,3320,574.744240415408,0.950908191560954,0.0198715024019383,0.838169235541235
"103","F",3,"Rs_103_F_01",14194.1036742011,2.63896713814227,2338,1817.56581613132,0.565679034059579,0.0346754235257532,0.823646680173867
"103","F",0,"Rs_103_F_02",10790.7444647276,2.33710733414189,3101,205.573025768487,1.07529745216192,6.26898876741945,0.83284183590659
"103","F",1,"Rs_103_F_02",13160.5860895673,2.64018665422252,2737,79.1618147445302,1.47969152898579,6.25626330658319,0.81655970760163
"103","F",2,"Rs_103_F_02",7010.38486168349,1.75964709466736,3950,44.2739814366437,1.11404798790825,6.26731660140456,0.861757464988832
"103","F",3,"Rs_103_F_02",5975.22150358265,1.77102281161453,4443,11.9328015646314,1.34393112405702,0.0128968723739878,0.877539420500998
"103","F",0,"Rs_103_F_03",17160.4705728563,3.14419736431903,2188,268.533799209043,1.03594558006931,0.0777437821499234,0.808119765586018
"103","F",1,"Rs_103_F_03",16166.0013780026,2.81168127075024,1919,2109.91338951362,0.596926690780701,0.0515815781962392,0.788784223499845
"103","F",2,"Rs_103_F_03",745.301173201723,1.23535941763282,7165,1.91240830897251,0.728250990112309,0.0237975381830433,0.887956690843293
"103","F",3,"Rs_103_F_03",4397.14388603267,1.35819407953186,4960,45.0687062360565,0.785302168323537,0.0257927718838326,0.888004511955449
"103","M",0,"Rs_103_M_01",15512.4614103821,3.027699842088,2519,945.291141138328,0.978057562627392,0.00660275228783643,0.846425718596947
"103","M",1,"Rs_103_M_01",9396.38040501197,2.05417815447461,3218,81.2703657364218,1.26204231170096,6.26412107600278,0.853760185997247
"103","M",2,"Rs_103_M_01",14284.7156434247,2.65812997156881,2309,59.1015966131123,1.43166884135541,6.25747327799649,0.856823401706474
"103","M",3,"Rs_103_M_01",2195.70614215058,1.35674189433137,6220,52.481849076648,0.72149003302699,6.25072751341194,0.874592888925216
"103","M",0,"Rs_103_M_02",12039.9814040568,2.73300605661024,3282,878.970756023286,0.72237354610557,0.0813333295172007,0.848070066322206
"103","M",1,"Rs_103_M_02",9292.45535236187,1.9435916532293,3058,113.242174673679,1.42078175456232,0.0421757049284551,0.860212871028118
"103","M",2,"Rs_103_M_02",4942.58828230105,1.38834228183305,4514,8.00961462230944,1.37496579537987,0.0394358851489244,0.871163096752888
"103","M",3,"Rs_103_M_02",2229.95433879556,1.34602995651071,6165,26.7172929228799,0.978871472862753,0.0361460689775897,0.88014595527982
"103","M",0,"Rs_103_M_03",9634.88007824624,2.14552275853057,3313,3536.32913280517,0.440012992129558,0.00205630584772503,0.844750408782354
"103","M",1,"Rs_103_M_03",6399.98306293303,1.59919104986092,4027,191.031854794184,0.763358912668847,6.27499912571209,0.86293210650878
"103","M",2,"Rs_103_M_03",3390.53429576021,1.13820368189448,5595,168.240088858204,0.606034646407466,6.27778040870388,0.887691472657191
"103","M",3,"Rs_103_M_03",1168.10529890736,1.18544705061526,6944,35.0297269364429,0.650772972421254,6.27862289690679,0.892754712877607
