"name" "colony" "sex" "rep" "steps" "Min.step" "Max.step" "judgement" "TP.Xmin" "TP.Xmax" "TP.exponent" "TP.fitted.steps" "TP.fit" "TP.OOM" "Exp.Xmin" "Exp.exponent" "Exp.fitted.steps" "Exp.fit" "Exp.OOM" "EXP.AICw" "EXP.comp.AICw" "TP.AICw" "TP.comp.AICw"
"33" "Rs_102_F3_1" "Rs_102" "F" "3" "124" "0.023725" "194.378925" "TP" "3.84345" "116.86935" "1.05" "81" "0.054465940937088" "1.48297939296045" "3.440125" "0.0291819756102477" "86" "0.168292277924084" "1.75207495262442" "2.88527572564898e-06" "0.999997114724274" "0.999997114724274" "2.88527572564898e-06"
"34" "Rs_102_F3_2" "Rs_102" "F" "3" "72" "0.023725" "34.3538" "Mixed" "0.04745" "28.588625" "0.78" "66" "0.0581466656926687" "2.77995705124691" "0.4745" "0.110139739794865" "52" "0.11408068979003" "1.85973856619715" "0.039026661137718" "0.960973338862282" "0.960973338862282" "0.039026661137718"
"35" "Rs_102_F3_3" "Rs_102" "F" "3" "67" "0.023725" "54.353975" "Mixed" "0.2847" "42.3254" "0.79" "62" "0.0438507912679361" "2.17221360399248" "3.013075" "0.0674093108640333" "43" "0.0784930561867695" "1.25622136823344" "0.0374511950099317" "0.962548804990068" "0.962548804990068" "0.0374511950099317"
"36" "Rs_102_F3_4" "Rs_102" "F" "3" "85" "0.023725" "69.70405" "Mixed" "0.023725" "20.189975" "0.66" "72" "0.0386784262585159" "2.92992956008459" "2.13525" "0.0703247332463567" "56" "0.0860545591359096" "1.51380928201491" "0.0280304189434215" "0.971969581056579" "0.971969581056579" "0.0280304189434215"
"37" "Rs_102_M1_1" "Rs_102" "M" "1" "124" "0.023725" "305.079775" "Mixed" "2.2776" "90.700675" "0.7" "91" "0.0455644177911945" "1.60013306497946" "5.100875" "0.0196937144588012" "93" "0.0929495261311301" "1.77676873640446" "0.999989315500633" "1.06844993669648e-05" "1.06844993669648e-05" "0.999989315500633"
"38" "Rs_102_M1_2" "Rs_102" "M" "1" "125" "0.023725" "159.123575" "Mixed" "2.7521" "117.72345" "0.95" "98" "0.0463009053400702" "1.63119877070927" "1.9929" "0.0328516409972021" "101" "0.129351074603179" "1.90224902027877" "0.0362193469962077" "0.963780653003792" "0.963780653003792" "0.0362193469962077"
"39" "Rs_102_M1_3" "Rs_102" "M" "1" "120" "0.023725" "56.679025" "Mixed" "0.0949" "36.417875" "0.7" "104" "0.0474490481942325" "2.58404838848524" "0.593125" "0.076591249409015" "94" "0.099857278552837" "1.98027614107784" "0.00710393322891263" "0.992896066771087" "0.992896066771087" "0.00710393322891263"
"40" "Rs_102_M1_4" "Rs_102" "M" "1" "57" "0.023725" "36.797475" "TP" "0.42705" "36.797475" "1.17" "45" "0.0917771284613807" "1.9353392927103" "0.166075" "0.164072848686635" "48" "0.304301008331035" "2.34551375779935" "6.18987194776311e-08" "0.999999938101281" "0.999999938101281" "6.18987194776311e-08"
"41" "Rs_102_M2_1" "Rs_102" "M" "2" "180" "0.023725" "81.8038" "Mixed" "11.388" "42.18305" "0.55" "117" "0.0543710462637919" "0.568690519258608" "0.023725" "0.0428253195661034" "180" "0.155866666666667" "3.53756725715268" "0.999999989461707" "1.05382935297931e-08" "1.05382935297931e-08" "0.999999989461707"
"42" "Rs_102_M2_2" "Rs_102" "M" "2" "127" "0.023725" "90.463425" "Mixed" "0.1898" "90.463425" "0.84" "123" "0.0432957862154503" "2.67817681828173" "2.32505" "0.0400040046361818" "85" "0.103650432773088" "1.59004072958118" "1.90695081871753e-05" "0.999980930491813" "0.999980930491813" "1.90695081871753e-05"
"43" "Rs_102_M2_3" "Rs_102" "M" "2" "111" "0.023725" "94.876275" "TP" "0.213525" "94.876275" "1.03" "98" "0.042044696436445" "2.6477088946942" "3.796" "0.0451020086788442" "50" "0.0937807375297066" "1.3978314214776" "0.0428520345789204" "0.957147965421079" "0.957147965421079" "0.0428520345789204"
"44" "Rs_102_M2_4" "Rs_102" "M" "2" "145" "0.023725" "82.207125" "TP" "2.491125" "49.8225" "1.06" "92" "0.0405407953909814" "1.30102999566398" "2.016625" "0.0626943941807443" "99" "0.116904600636838" "1.61028431323353" "0.228086236852971" "0.771913763147029" "0.771913763147029" "0.228086236852971"
"45" "Rs_102_M3_1" "Rs_102" "M" "3" "120" "0.023725" "167.73575" "Mixed" "0.80665" "104.983125" "0.9" "93" "0.0416951737721242" "2.11443435799159" "4.98225" "0.0289334666094534" "63" "0.0880931170110537" "1.52720011906298" "0.957049602061947" "0.0429503979380533" "0.0429503979380533" "0.957049602061947"
"46" "Rs_102_M3_2" "Rs_102" "M" "3" "123" "0.023725" "80.665" "Mixed" "0.118625" "13.119925" "0.77" "91" "0.0676151828139354" "2.04375512696868" "0.6643" "0.0793413505461626" "86" "0.15804286461396" "2.08432088570004" "2.29195296714699e-07" "0.999999770804703" "0.999999770804703" "2.29195296714699e-07"
"47" "Rs_102_M3_3" "Rs_102" "M" "3" "104" "0.023725" "90.77185" "Mixed" "0.3796" "78.5772" "0.88" "86" "0.0446648480228903" "2.31597034545692" "3.46385" "0.0362326544802637" "59" "0.111031144828642" "1.41839210990684" "9.23388097299709e-06" "0.999990766119027" "0.999990766119027" "9.23388097299709e-06"
"48" "Rs_102_M3_4" "Rs_102" "M" "3" "67" "0.023725" "108.99265" "TP" "6.59555" "108.99265" "1.93" "30" "0.0910696013405419" "1.21814619494093" "0.925275" "0.0713782186272803" "45" "0.135259685362579" "2.07112638383251" "0.667521896139715" "0.332478103860285" "0.332478103860285" "0.667521896139715"
"49" "Rs_103_F1_1" "Rs_103" "F" "1" "204" "0.023725" "221.520325" "Mixed" "3.582475" "87.094475" "0.7" "160" "0.0334270379655587" "1.38580743721082" "0.23725" "0.0275779095094969" "198" "0.0559016796771666" "2.97020735880685" "1" "4.04905763450079e-28" "4.04905763450079e-28" "1"
"50" "Rs_103_F1_2" "Rs_103" "F" "1" "191" "0.023725" "168.661025" "TP" "4.863625" "135.94425" "1.07" "126" "0.034707651959978" "1.44640076091164" "7.07005" "0.0271794087428151" "111" "0.0940612529977181" "1.37759225015198" "0.00192349018967731" "0.998076509810323" "0.998076509810323" "0.00192349018967731"
"51" "Rs_103_F1_3" "Rs_103" "F" "1" "166" "0.023725" "134.022525" "Mixed" "0.23725" "66.216475" "0.64" "140" "0.0404330538392663" "2.44575983648863" "2.680925" "0.0301817202730315" "123" "0.0674293339326796" "1.69889313125291" "0.982492863528536" "0.0175071364714636" "0.0175071364714636" "0.982492863528536"
"52" "Rs_103_F1_4" "Rs_103" "F" "1" "174" "0.023725" "142.87195" "Mixed" "1.589575" "106.786225" "0.66" "161" "0.0491906987683305" "1.82723421023765" "0.166075" "0.0289784857536299" "171" "0.094194733787863" "2.93464271116248" "0.999491265579281" "0.000508734420718957" "0.000508734420718957" "0.999491265579281"
